word,emergence_period,emergence_index,freq_before,freq_after,persistence,freq_profile
snakes,1900-1940,2,4.3372845996035725,28.318439721935576,2,"[9.065541273250956, 4.3372845996035725, 28.318439721935576, 25.092099410335663]"
metamorphoses,1900-1940,2,0.0,28.318439721935576,2,"[0.43169244158337877, 0.0, 28.318439721935576, 27.373199356729813]"
climates,1900-1940,2,4.3372845996035725,28.318439721935576,2,"[1.2950773247501364, 4.3372845996035725, 28.318439721935576, 5.702749865985378]"
linked,1900-1940,2,4.3372845996035725,28.318439721935576,2,"[7.33877150691744, 4.3372845996035725, 28.318439721935576, 20.52989951754736]"
cock,1900-1940,2,4.3372845996035725,28.318439721935576,2,"[7.770463948500818, 4.3372845996035725, 28.318439721935576, 34.21649919591227]"
weed,1860-1900,1,2.5901546495002727,28.19234989742322,3,"[2.5901546495002727, 28.19234989742322, 6.7964255332645385, 6.843299839182453]"
bronze,1860-1900,1,4.748616857417167,27.469469130822624,3,"[4.748616857417167, 27.469469130822624, 60.03509221050342, 59.308598606247934]"
sledge,1860-1900,1,0.8633848831667575,27.469469130822624,2,"[0.8633848831667575, 27.469469130822624, 5.6636879443871155, 2.2810999463941513]"
reciprocal,1900-1940,2,0.7228807666005954,27.185702133058154,2,"[3.0218470910836515, 0.7228807666005954, 27.185702133058154, 5.702749865985378]"
sceptre,1900-1940,2,0.0,27.185702133058154,2,"[6.90707906533406, 0.0, 27.185702133058154, 28.513749329926892]"
consecutive,1900-1940,2,1.4457615332011908,27.185702133058154,2,"[3.45353953266703, 1.4457615332011908, 27.185702133058154, 6.843299839182453]"
informs,1900-1940,2,2.8915230664023817,27.185702133058154,2,"[6.4753866237506825, 2.8915230664023817, 27.185702133058154, 15.967699624759058]"
oracle,1900-1940,2,2.1686422998017862,27.185702133058154,2,"[4.316924415833788, 2.1686422998017862, 27.185702133058154, 26.23264938353274]"
vol,1900-1940,2,0.0,27.185702133058154,2,"[0.8633848831667575, 0.0, 27.185702133058154, 27.373199356729813]"
summary,1900-1940,2,2.1686422998017862,27.185702133058154,2,"[8.633848831667576, 2.1686422998017862, 27.185702133058154, 7.983849812379529]"
vampire,1860-1900,1,3.0218470910836515,26.746588364222028,3,"[3.0218470910836515, 26.746588364222028, 16.991063833161345, 17.108249597956135]"
endeavoring,1860-1900,1,3.45353953266703,26.746588364222028,3,"[3.45353953266703, 26.746588364222028, 15.858326244283925, 12.546049705167832]"
overcoat,1860-1900,1,2.5901546495002727,26.746588364222028,3,"[2.5901546495002727, 26.746588364222028, 28.318439721935576, 25.092099410335663]"
agriculture,1860-1900,1,2.5901546495002727,26.746588364222028,3,"[2.5901546495002727, 26.746588364222028, 7.929163122141962, 6.843299839182453]"
crowns,1860-1900,1,4.316924415833788,26.746588364222028,3,"[4.316924415833788, 26.746588364222028, 11.327375888774231, 11.405499731970757]"
knight,1900-1940,2,4.3372845996035725,26.05296454418073,2,"[3.0218470910836515, 4.3372845996035725, 26.05296454418073, 22.810999463941513]"
